system,namaste_code,name,icd11_term,icd11_code
Ayurveda,AAB-36,gulpha-grahaḥ,Other specified joint disorders (TM2),SP1Y
Ayurveda,AAB-37,gr̥dhrasī,,
Ayurveda,SK91,ghrāṇanāśaḥ,Anosmia disorder (TM2),SK91
Ayurveda,AAB-39(SP1Y),jānubhedaḥ,Other specified joint disorders (TM2),SP1Y
Ayurveda,AAB-40,jānuviśleṣaḥ,Other specified joint disorders (TM2),SP1Y
Ayurveda,SP95,jr̥mbhā,Excessive yawning disorder (TM2),SP95
Ayurveda,AAB-42(SP98),tamaḥ,Syncope disorder (TM2),SP98
Ayurveda,AAB-43,timiraḥ,Cataract disorder (TM2),SK65
Ayurveda,AAB-44,prasuptiḥ,Numbness disorder (TM2),SK54
Ayurveda,AAB-45,todaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-46(SK30),daṇḍakaḥ,Seizure disorder (TM2),SK30
Ayurveda,AAB-47,dantabhēdaḥ,Odontalgia disorder (TM2),SM1A
Ayurveda,AAB-48,dantaśaithilyam,Other specified oral cavity disorders (TM2),SM1Y
Ayurveda,SN60(AAB-49),nakhabhedaḥ,Brittle nails disorder (TM2),SN60
Ayurveda,AAB-50(SN7Y),hrasvakeśaḥ,Other specified hair disorders (TM2),SN7Y
Ayurveda,AAB-51,nirāmavātaḥ,,
Ayurveda,AAB-52,pakṣāghātaḥ/pakṣavadhaḥ,,
Ayurveda,AAB-53(SK21),pāṅgulyam,Paraplegia disorder (TM2),SK21
Ayurveda,AAB-54(SK5Y),pādabhraṃśaḥ,"Other specified head, brain, nerve and movement disorders (TM2)",SK5Y
Ayurveda,AAB-55(SP4Y),pādaśūlaḥ,"Other specified bone, joint and muscle disorders (TM2)",SP4Y
Ayurveda,AAB-56(SP45),pādasuptatā,Cervical spondylosis disorder (TM2),SP45
Ayurveda,SN4R(AAB-57),pāruṣyam,Roughness of skin disorder (TM2),SN4R
Ayurveda,AAB-58,pārśvāvamardaḥ,,
Ayurveda,AAB-59(SP9Y),piṇḍikodveṣṭanam,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-60,purīṣātigāḍhatvam,,
Ayurveda,SP42(AAB-61),pṛṣṭha-grahaḥ,Lumbar spondylosis disorder (TM2),SP42
Ayurveda,AAB-62,pralāpakaḥ,Delirium disorder (TM2),SQ00
Ayurveda,AAB-63,bādhiryam,Deafness disorder (TM2),SK81
Ayurveda,AAB-64(SP4Y),bāhuśoṣaḥ,"Other specified bone, joint and muscle disorders (TM2)",SP4Y
Ayurveda,AAB-65(SP9Y),balahāniḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-66(SP9Y),bhedaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-67,,,
Ayurveda,AAB-68(SM7Y),mala-apravṛtiḥ,Other specified gastro-intestinal disorders (TM2),SM7Y
Ayurveda,AAB-69,mūkatvam,Speech disorder (TM2),SL07
Ayurveda,AAB-70,mōhaḥ,,
Ayurveda,AAB-71,bhramaḥ,Vertigo and giddiness disorder (TM2),SK10
Ayurveda,AAB-72(SK5Y),bhrūvyudāsaḥ,"Other specified head, brain, nerve and movement disorders (TM2)",SK5Y
Ayurveda,AAB-73,,,
Ayurveda,SM1N(AAB-74),mukhaśoṣaḥ,Xerostomia disorder (TM2),SM1N
Ayurveda,SM81(AAB-75),mūtranigrahaḥ,Retention of urine disorder (TM2),SM81
Ayurveda,AAB-76,rajōnāśaḥ,Amenorrhoea disorder (TM2),SM90
Ayurveda,SN42(AAB-77),raukṣyam,Dryness of skin disorder (TM2),SN42
Ayurveda,AAB-78(SP9Y),lomaharṣaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-79(SK0Y),lalāṭabhedaḥ,Other specified headache disorders (TM2),SK0Y
Ayurveda,AAB-80(SP1Y),trikagrahaḥ,Other specified joint disorders (TM2),SP1Y
Ayurveda,AAB-81,vartmastambhaḥ,,
Ayurveda,AAB-82(SK7Y),vartmasaṅkocaḥ,Other specified eye disorders (TM2),SK7Y
Ayurveda,AAB-83(SP9Y),vakṣoparodhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-84(SP9Y),vakṣastodaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,SK53(AAB-85),vāk-saṅgaḥ,Stammering disorder (TM2),SK53
Ayurveda,AAB-86(SP9Y),vācālatā,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-87(SP1Y),"vātakhuḍḍatā,",Other specified joint disorders (TM2),SP1Y
Ayurveda,AAB-88(SP9Y),vāmanatvam,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-89(SM37),viḍ-bhedaḥ,Diarrhoea disorder (TM2),SM37
Ayurveda,AAB-90,vipādikā,"Other specified skin, nail and hair disorders (TM2)",SN9Y
Ayurveda,AAB-91(SQ04),viṣādaḥ dīnatā,,
Ayurveda,AAB-92(SN3Y),vṛṣaṇākṣepaḥ,Other specified urinary and reproductive system disorders (TM2),SN3Y
Ayurveda,AAB-93(SP4Y),vaṅkṣaṇānāhaḥ,"Other specified bone, joint and muscle disorders (TM2)",SP4Y
Ayurveda,AAB-94(SP9Y),vyathā,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-95(SL7Y),śirāsphūrtiḥ,Other specified circulatory disorders (TM2),SL7Y
Ayurveda,AAB-96,śirōruk,Cephalalgia disorder (TM2),SK00
Ayurveda,SN03(AAB-97),śukrakṣayaḥ,Oligospermia disorder (TM2),SN03
Ayurveda,AAB-98,śaṅkhabhēdaḥ,,
Ayurveda,SN07(AAB-99),śephastambhaḥ,Priapism disorder (TM2),SN07
Ayurveda,AAB-100(SP9Y),śaityam,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-101,śyāvāruṇāsyatā,,
Ayurveda,AAB-102,śrōṇibhēdaḥ,Hip joint pain disorder (TM2),SP13
Ayurveda,AAB-103(SP9Y),saṅkocaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-104,svēdanāśaḥ,,
Ayurveda,AAB-105(SP9Y),śramaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-106,sarvāṅgarōgaḥ/sarvāṅgavātaḥ,,
Ayurveda,AAB-107(SK52),stambhaḥ,Tremor disorder (TM2),SK52
Ayurveda,AAB-108(SP4Y),hanubhedaḥ,"Other specified bone, joint and muscle disorders (TM2)",SP4Y
Ayurveda,AAB-109,hikkā,Hiccough disorder (TM2),SM74
Ayurveda,SL62(AAB-110),hṛddravaḥ,Palpitation disorder (TM2),SL62
Ayurveda,SL60(AAB-111),hṛnmohaḥ,Slow heart disorder (TM2),SL60
Ayurveda,AAC,sāmānyajavātavikāraḥ,,
Ayurveda,AAC-1(SK30),antarāyāmaḥ,Seizure disorder (TM2),SK30
Ayurveda,AAC-2(SK30),apatantrakaḥ,Seizure disorder (TM2),SK30
Ayurveda,AAC-2.1,asādhya-apatantrakaḥ,,
Ayurveda,AAC-3(SK30),apatānakaḥ,Seizure disorder (TM2),SK30
Ayurveda,SK20(AAC-4),arditaḥ,Facial palsy disorder (TM2),SK20
Ayurveda,AAC-4.1,ardita-pūrvarupam,,
Ayurveda,AAC-4.2,asādhya-arditaḥ,,
Ayurveda,AAC-5(SP0Y),asthiprabhedaḥ,Other specified bone disorders (TM2),SP0Y
Ayurveda,SP00(AAC-6),asthiśoṣaḥ,Osteoporosis disorder (TM2),SP00
Ayurveda,SN08(AAC-7),vātāṣṭhīlā,Prostatic enlargement disorder (TM2),SN08
Ayurveda,SP15(AAC-8),avabāhukaḥ,Frozen shoulder disorder (TM2),SP15
Ayurveda,SK55(AAC-9),ūrustambhaḥ,Weakness of thighs due to vata disorder (TM2),SK55
Ayurveda,AAC-9.1,ūrustambha-pūrvarūpam,,
Ayurveda,AAC-9.2(SK55),asādhya-ūrustambhaḥ,Weakness of thighs due to vata disorder (TM2),SK55
Ayurveda,AAC-10(SP2Y ),aṃsaśoṣaḥ,Other specified muscle disorders (TM2),SP2Y
Ayurveda,SK30(AAC-11),ākṣepakaḥ,Seizure disorder (TM2),SK30
Ayurveda,SM31(AAC-12),ādhmānam,Abdominal distension disorder (TM2),SM31
Ayurveda,AAC-12.1(SM31),"pratyādhmānaḥ,",Abdominal distension disorder (TM2),SM31
Ayurveda,AAC-13(SK30),bahirāyāmaḥ bāhyāyāmaḥ dhanuḥstambhaḥ,,
Ayurveda,AAC-13.1(SK30),asādhyadhanuṣkaṃpa,Seizure disorder (TM2),SK30
Ayurveda,SM75(AAC-14),ūrdhvavātaḥ,Dynamic intestinal obstruction disorder (TM2),SM75
Ayurveda,AAC-15(SK22),ekāṅgavātaḥ,Hemiplegia disorder (TM2),SK22
Ayurveda,AAC-16(SK5Y),kalāyakhañjaḥ,"Other specified head, brain, nerve and movement disorders (TM2)",SK5Y
Ayurveda,AAC-17(SP10),kroṣṭukaśīrṣaḥ,Polyarthritis disorder (TM2),SP10
Ayurveda,AAC-18(SK2Y),khañjaḥ khañjatvam,,
Ayurveda,SP20(AAC-19),khallī,"Muscle pain, twisting disorder (TM2)",SP20
Ayurveda,SP41(AAC-20),gṛdhrasī,Sciatica disorder (TM2),SP41
Ayurveda,AAC-20.1,vātikagr̥dhrasī,,
Ayurveda,AAC-20.2,vātakaphaja-gr̥dhrasī,,
Ayurveda,AAC-21(SK22),jihvāstambhaḥ,Hemiplegia disorder (TM2),SK22
Ayurveda,SM83(AAC-22),tūnī,Renal colic disorder (TM2),SM83
Ayurveda,AAC-239(SK30),daṇḍāpatānakaḥ,Seizure disorder (TM2),SK30
Ayurveda,SK22(AAC-24),pakṣāghāta pakṣavadhaḥ,,
Ayurveda,AAC-24.1,kaphānvitapakṣāghātaḥ,,
Ayurveda,AAC-24.2,pittānvitapakṣāghātaḥ,,
Ayurveda,AAC-24.3,bāla-pakṣāghātaḥ,Hemiplegia disorder (TM2),SK22
Ayurveda,AAC-25(SP9Y),pādadāhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAC-26(SP9Y),pādaharṣaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAC-27(SM83),pratitūnī,Renal colic disorder (TM2),SM83
Ayurveda,AAC-28,pratyaṣṭhīlā,,
Ayurveda,AAC-29,vraṇāyāmaḥ,Seizure disorder (TM2),SK30
Ayurveda,SK21(AAC-30),paṅguḥ,Paraplegia disorder (TM2),SK21
Ayurveda,SL21(AAC-31),minminaḥ,Hypernasal speech disorder (TM2),SL21
Ayurveda,AAC-32,manyāstambhaḥ,Torticollis disorder (TM2),SP44
Ayurveda,SL07(AAC-33),mūkatvam,Speech disorder (TM2),SL07
Ayurveda,SP40(AAC-34),vātakaṇṭakam,Achillodynia disorder (TM2),SP40
Ayurveda,SK51(AAC-35),viśvācī,Cervicobrachial pain disorder (TM2),SK51
Ayurveda,SK52(AAC-36),kampaḥ,Tremor disorder (TM2),SK52
Ayurveda,AAC-37,śirōgrahaḥ,"Other specified head, brain, nerve and movement disorders (TM2)",SK5Y
Ayurveda,AAC-38(SK22),sarvāṅgavātaḥ/ sarvāṅgarogaḥ,,
Ayurveda,AAC-39(SL7Y),sirāgrahaḥ,Other specified circulatory disorders (TM2),SL7Y
Ayurveda,AAC-40(SK5Y),hanugrahaḥ hanusraṃsa,,
Ayurveda,SR20(AAD),āvaraṇa,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-1,anyōnyāvaraṇaḥ/paraspara-āvaraṇaḥ,,
Ayurveda,AAD-1.1,prāṇāvr̥tavyānavātaḥ,,
Ayurveda,AAD-1.2,vyānāvr̥taprāṇavātaḥ,,
Ayurveda,AAD-1.3,prāṇāvr̥tasamānavātaḥ,,
Ayurveda,AAD-1.4,samānāvr̥ta-apānavātaḥ,,
Ayurveda,AAD-1.5,prāṇāvr̥ta-udānavātaḥ,,
Ayurveda,AAD-1.6,udānāvr̥taprāṇavātaḥ,,
Ayurveda,AAD-1.7,udānāvr̥ta-apānavātaḥ,,
Ayurveda,AAD-1.8,apānāvr̥ta-udānavātaḥ,,
Ayurveda,AAD-1.9,vyānāvr̥ta-apānavātaḥ,,
Ayurveda,AAD-1.10,apānāvr̥ta-vyānavātaḥ,,
Ayurveda,AAD-1.11,samānāvr̥ta-vyānavātaḥ,,
Ayurveda,AAD-1.12,udānāvr̥tavyānavātaḥ,,
Ayurveda,AAD-1.13,apānāvr̥tasamānavātaḥ,,
Ayurveda,AAD-1.14,apānāvr̥ta-prāṇavātaḥ,,
Ayurveda,AAD-1.15,prāṇāvr̥ta-apānavātaḥ,,
Ayurveda,AAD-1.16,samānāvr̥taprāṇavātaḥ,,
Ayurveda,AAD-1.17,samānāvr̥ta-udānavātaḥ,,
Ayurveda,AAD-1.18,udānāvr̥tasamānavātaḥ,,
Ayurveda,AAD-1.19,vyānāvr̥ta-udānavātaḥ,,
Ayurveda,AAD-1.20,vyānāvr̥tasamānavātaḥ,,
Ayurveda,AAD-2,dōṣāvr̥ta-vātaḥ,,
Ayurveda,AAD-2.1(SR20),pittāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.2(SR20),kaphāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.3(SR20),pittāvṛtaprāṇavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.4(SR20),kaphāvṛtaprāṇavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.5(SR20),pittāvṛta-udānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.6(SR20),kaphāvṛta-udānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.7(SR20),pittāvṛta-samānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.8(SR20),kaphāvṛtasamānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.9(SR20),pittāvṛtavyānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.10(SR20),kaphāvṛtavyānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.11(SR20),pittāvṛta-apānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.12(SR20),kaphāvṛta-apānavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-2.13,kaphapittāvr̥tavātaḥ,,
Ayurveda,AAD-3,dhātvāvr̥tavātaḥ,,
Ayurveda,AAD-3.1(SR20),raktāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-3.2(SR20),māṃsāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-3.3(SR20),medasāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-3.4(SR20),asthyāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-3.5(SR20),majjāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-3.6(SR20),śukrāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-3.7(SR20),sarvadhātvāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-4(SR20),malāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-4.1(SR20),mūtrāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAD-4.2,varcasāvr̥tavātaḥ,,
Ayurveda,AAD-5(SR20),annāvṛtavātaḥ,Pattern of occlusion (TM2),SR20
Ayurveda,AAE,sthānaviśēṣa-kupitavātaḥ,,
Ayurveda,AAE-1,kōṣṭhāśritavātakōpaḥ,,
Ayurveda,AAE-2,sarvāṅgakupitavātaḥ,,
Ayurveda,AAE-3,gudasthitavātaḥ,,
Ayurveda,AAE-4,āmāśayagatavātaḥ,,
Ayurveda,AAE-5,pakvāśayagatavātaḥ,,
Ayurveda,AAE-6,śrōtrādīndriyagatavātaḥ,,
Ayurveda,AAE-7,tvak^-gatavātaḥ,,
Ayurveda,AAE-8,asr̥ggatavātaḥ/raktagatavāta,,
Ayurveda,AAE-9,māṁsagatavātakōpa,,
Ayurveda,AAE-10,mēdōgatavātaḥ,,
Ayurveda,AAE-11,asthigatavātaḥ,,
Ayurveda,AAE-12,majjāgatavātaḥ,,
Ayurveda,AAE-13,śukragatavātaḥ,,
Ayurveda,AAE-14,snāyugatavātaḥ,,
Ayurveda,AAE-15,sirāgatavātaḥ,,
Ayurveda,SP12(AAE-16),sandhigatavātaḥ,Osteoarthritis disorder (TM2),SP12
Ayurveda,AAE-17,bastigata-pratilōmavātaḥ/bastigata-viguṇavātaḥ,,
Ayurveda,AA-1,kr̥cchrasādhyavātavyādhiḥ,,
Ayurveda,AA-2,asādhyavātavyādhiḥ,,
Ayurveda,AA-3,vātavyādhi-upadravaḥ,,
Ayurveda,AA-4,vātavyādhi^^ariṣṭa,,
Ayurveda,AB,pittavikāraḥ,,
Ayurveda,ABA,dōṣāvasthā,,
Ayurveda,SR16(ABA-1),pittasañcayaḥ,Accumulation of pitta pattern (TM2),SR16
Ayurveda,SR17(ABA-2),pittavṛddhiḥ,Aggravation of pitta pattern (TM2),SR17
Ayurveda,SR15(ABA-2.1),pittaprakopaḥ,Vitiation of pitta pattern (TM2),SR15
Ayurveda,SR18(ABA-3),pittaprasaraḥ,Spreading of pitta pattern (TM2),SR18
Ayurveda,SR19(ABA-4),pittakṣayaḥ,Depletion of pitta pattern (TM2),SR19
Ayurveda,ABB,nānātmajapittavikāraḥ,,
Ayurveda,ABB-1(SK7Y),akṣipākaḥ,Other specified eye disorders (TM2),SK7Y
Ayurveda,SN44(ABB-2),aṅga-durgandhaḥ,Foul body smelling disorder (TM2),SN44
Ayurveda,ABB-3(SP9Y),aṅgāvadaraṇam,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-4,atisvēdaḥ,Excess of sweat disorder (TM2),SN45
Ayurveda,ABB-5(SM7Y),atṛptiḥ,Other specified gastro-intestinal disorders (TM2),SM7Y
Ayurveda,ABB-6(SM7Y),antardāhaḥ,Other specified gastro-intestinal disorders (TM2),SM7Y
Ayurveda,ABB-7(SM3Y),amlakaḥ,Other specified abdominal cavity disorders (TM2),SM3Y
Ayurveda,ABB-8(SP9Y),aṃsadāhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,SM10(ABB-9),āsyavipākaḥ,Stomatitis disorder (TM2),SM10
Ayurveda,ABB-10(SP9Y),ūṣmādhikyam,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-11(SP9Y),oṣaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-12,kakṣā,Herpes disorder (TM2),SN4T
Ayurveda,ABB-13,kāmalā,Jaundice disorder (TM2),SM41
Ayurveda,ABB-14,galapākaḥ,,
Ayurveda,ABB-15,gudapākaḥ/gudakuṭṭanam,,
Ayurveda,ABB-16,jīvādānaḥ,,
Ayurveda,ABB-17(SP98),"tamapraveśaḥ, tamaḥ-atidarśanam",,
Ayurveda,ABB-18,tiktāsyatā,,
Ayurveda,ABB-19,tr̥ṣṇādhikyam,,
Ayurveda,ABB-20,tvagavadaraṇam,,
Ayurveda,ABB-21(SP9Y),tvagdāhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-22(SP9Y),davaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-23(SP9Y),davathuḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-24(SP9Y),dāhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-25(SP9Y),"dhūmakaḥ, dhūmodgāraḥ",,
Ayurveda,ABB-26,akālapalitaḥ,Premature greying of hair disorder (TM2),SN73
Ayurveda,SM15(ABB-27),pūtimukhatā,Halitosis disorder (TM2),SM15
Ayurveda,ABB-28(SP9Y),ploṣaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-29(SP2Y),māṃsakledaḥ,Other specified muscle disorders (TM2),SP2Y
Ayurveda,ABB-30(SP9Y),māṃsadāhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,SN00(ABB-31),meḍhrapākaḥ,Balanitis disorder (TM2),SN00
Ayurveda,ABB-32,raktakōṭhaḥ,,
Ayurveda,ABB-33,raktavisphōṭaḥ,,
Ayurveda,ABB-34,raktapittam,Bleeding disorder disorder (TM2),SL81
Ayurveda,ABB-35(SN5Y),raktamaṇḍalam,Other specified skin disorders (TM2),SN5Y
Ayurveda,ABB-36,lōhitagandhāsyatā,Halitosis disorder (TM2),SM15
Ayurveda,ABB-37(SP9Y),vidāhaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ABB-38,śōṇitaklēdaḥ,Other specified blood related disorders (TM2),SL8Y
Ayurveda,ABB-39,haritanētraḥ,,
Ayurveda,ABB-40,haritamūtraḥ,,
Ayurveda,ABB-41,haritavarcaḥ,,
Ayurveda,ABB-45(SN9Y),carmadaraṇam,"Other specified skin, nail and hair disorders (TM2)",SN9Y
Ayurveda,ABC,sthānaviśēṣa-kupitapittam,,
Ayurveda,ABC-1,raktasthitapittakōpaḥ,,
Ayurveda,ABC-2,māṁsasthitakaphakōpaḥ,,
Ayurveda,ABC-3,mēdasthitapittakōpaḥ,,
Ayurveda,ABC-4,asthisthitapittakōpaḥ,,
Ayurveda,ABC-5,majjāsthitapittakōpaḥ,,
Ayurveda,ABC-6,śukrasthitapittakōpaḥ,,
Ayurveda,ABC-7,tvaksthitapittakōpaḥ,,
Ayurveda,ABC-8,snāyusthitapittakōpaḥ,,
Ayurveda,ABC-9,kōṣṭhasthitapittakōpaḥ,,
Ayurveda,ABC-10,sirāsthitapittakōpaḥ,,
Ayurveda,AB-1,nirāmapittam,,
Ayurveda,AB-2,sāmapittam,,
Ayurveda,AB-3,pittarōga-ariṣṭaḥ,,
Ayurveda,AC,ślēṣmavikāraḥ,,
Ayurveda,ACA,dōṣāvasthā,,
Ayurveda,SR1B(ACA-1),kaphasañcayaḥ,Accumulation of kapha pattern (TM2),SR1B
Ayurveda,SR1C(ACA-2),kaphavṛddhiḥ,Aggravation of kapha pattern (TM2),SR1C
Ayurveda,SR1A(ACA-2.1),kaphaprakopaḥ,Vitiation of kapha pattern (TM2),SR1A
Ayurveda,SR1D(ACA-3),kaphaprasaraḥ,Spreading of kapha pattern (TM2),SR1D
Ayurveda,SR1E(ACA-4),kaphakṣayaḥ,Depletion of kapha pattern (TM2),SR1E
Ayurveda,ACB,nānātmaja-ślēṣmavikāraḥ,,
Ayurveda,ACB-1,atisthaulyam,Obesity disorder (TM2),SP64
Ayurveda,ACB-2(SM3B),apaktiḥ,Indigestion disorder (TM2),SM3B
Ayurveda,SP96(ACB-3),ālasyam,Laziness disorder (TM2),SP96
Ayurveda,ACB-4,udardaḥ,Urticaria disorder (TM2),SN4K
Ayurveda,ACB-5,kaṭukāṅkṣā,,
Ayurveda,ACB-6,uṣṇakāmitā,,
Ayurveda,ACB-7(SR0Y),buddhimāndyam,Other specified childhood disorders (TM2),SR0Y
Ayurveda,ACB-8,acaitanyam,,
Ayurveda,ACB-9,mūtrādhikyam,,
Ayurveda,ACB-10,śukravr̥ddhiḥ/śukrādhikyam,,
Ayurveda,ACB-11,śaityam-nānātmajaślēṣmavikāraḥ,,
Ayurveda,ACB-12(SM1Y),"kaṇṭhopalepaḥ, mukhalepaḥ",,
Ayurveda,ACB-13,galagaṇḍaḥ,Other specified neck and throat disorders (TM2),SL0Y
Ayurveda,ACB-14(SP9Y),gurugātratā,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,ACB-15(SQ4Y),tandrā,"Other specified mental, emotional and behavioural disorders (TM2)",SQ4Y
Ayurveda,ACB-16(SM7Y),tṛptiḥ,Other specified gastro-intestinal disorders (TM2),SM7Y
